Name,Rating,Type,Address,Average budget,Maximum capacity
"Bel Mundo, Saint-jans-molenbeek",0.5,Français,                1080 Molenbeek-Saint-Jean ,28,Not Available
Los Ponchos,Not available,Argentin,                1060 Saint-Gilles ,30,Not Available
Lou Ferri,"4,5",Français,                1180 Uccle ,45,Not Available
Ozawa,4,Asiatique,                1000 Bruxelles,25,Not Available
Le Zinneke,4,Belge,                1030 Schaerbeek ,30,Not Available
My Madou,4,Belge,                1210 Bruxelles,30,Not Available
Les Bains,Not available,Français,                1060 Saint-Gilles ,50,Not Available
Flylounge,5,Belge,                1000 Bruxelles,89,Not Available
Aux délices de fes,Not available,Marocain,                1090 Jette ,15,Not Available
La Sqala,Not available,Marocain,                1180 Uccle ,Not Available,Not Available
Toucan Sur Mer,4,Belge,                1050 Ixelles ,50,Not Available
De Bruxelles Et d'Ailleurs,4,Du Monde,                1000 Bruxelles,30,Not Available
Palasi Latino,4,Sud-américain,                1030 Bruxelles,30,Not Available
Le Restaurant De Rob,4,Français,                1150 Woluwe-Saint-Pierre ,25,Not Available
Le Paon Royal,3.5,Belge,                1000 Bruxelles,25,Not Available
l'auberg'in,4.5,Français,                1150 Woluwe-Saint-Pierre ,50,Not Available
Horia - Oriental Natural Eatery,4.5,Marocain,                1000 Bruxelles,20,Not Available
Feux De Bengale,4,Indien,                1000 Bruxelles,25,Not Available
L'Arrière Pays,4,Belge,                1000 Bruxelles,25,Not Available
La Terrasse De l'Hippodrome,Not available,Français,                1180 Uccle ,35,Not Available
Le Saint-hubert's,4,Belge,                1030 Schaerbeek ,35,Not Available
Vincent,3.5,Belge,                1160 Bruxelles,45,Not Available
Au Petit Suisse,4.5,Suisse,                1180 Uccle ,34,Not Available
Al Peperoncino,4.5,Français,                1160 Auderghem ,25,Not Available
Eden (l'),3.5,Grec,                1030 Schaerbeek ,20,Not Available
Les Deux Maisons,4.5,Français,                1150 Woluwe-Saint-Pierre ,45,Not Available
Les 4 Jeudis,4.5,Du Monde,                1210 Saint-Josse-ten-Noode ,16,Not Available
Les Brigittines,4.5,Belge,                1000 Bruxelles,55,Not Available
Harold,4,Français,                1180 Uccle ,38,Not Available
Abrussel,Not available,Belge,                1000 Bruxelles,25,Not Available
La Pergola,4.5,Belge,                1020 Laeken ,45,Not Available
Le Crabe Fantôme,3.5,Français,                1170 Watermael-Boitsfort ,37,Not Available
"Au Relais, Schaerbeek",3.5,Belge,                1030 Schaerbeek ,30,Not Available
Ilili,4,Méditerranéen,                1000 Bruxelles,25,Not Available
Dynastie,4,Français,                1020 Laeken ,30,Not Available
Les Filles De Papa,3.5,Français,                1170 Watermael-Boitsfort ,35,Not Available
Sole Di Napoli,4,Italien,                1130 Haren ,30,Not Available
86 Avenue Boite à Pates,4.5,Français,                1140 Evere ,15,Not Available
Beyrouth Palace,4,Libanais,                1030 Schaerbeek ,22,Not Available
Toucan,4,Français,                1050 Ixelles ,30,Not Available
Le Fou Chantant,2.5,Français,                1180 Uccle ,35,Not Available
L'Atelier De La Truffe Noire,4,Européen,                1050 Bruxelles,50,Not Available
Cafe De l'Opera,3.5,Belge,                1000 Bruxelles,40,Not Available
Stella d'Italia,Not available,Français,                1030 Schaerbeek ,30,Not Available
Le Bugatti,4.5,Belge,                1000 Bruxelles,25,Not Available
Jules Et Charles,3.5,Italien,                1150 Woluwe-Saint-Pierre ,40,Not Available
Belga Queen,4,Belge,                1000 Bruxelles,50,Not Available
Napoli Da Leonardo,4,Français,                1030 Schaerbeek ,25,Not Available
Ciccio-bello,3,Italien,                1170 Watermael-Boitsfort ,25,Not Available
Le Cirio,4,Belge,                1000 Bruxelles,20,Not Available
Au Grand Forestier,4,Belge,                1170 Watermael-Boitsfort ,40,Not Available
Ah non peut-être,4.5,Belge,                1000 Bruxelles,20,Not Available
Shake Hands,3.5,Belge,                1150 Woluwe-Saint-Pierre ,35,Not Available
Charlu,4,Français,                1180 Uccle ,30,Not Available
Big Boss,Not available,Belge,                1120 Neder-over-Heembeek ,30,Not Available
Au Vieux Spijtigen Duivel,4,Belge,                1180 Uccle ,25,Not Available
Casa Tua,4,Italien,                1180 Uccle ,25,Not Available
Loft Brussels,4,Américain,                1000 Bruxelles,35,Not Available
MADAGASIKARA,4,Malgache,                1000 Bruxelles,41,Not Available
L'Aquarelle,4,Français,                1020 Laeken ,20,Not Available
Genco,4.5,Italien,                1000 Bruxelles,40,Not Available
Le Medicis,4.5,Français,                1150 Woluwe-Saint-Pierre ,55,Not Available
Frederiksborg,3.5,Belge,                1083 Ganshoren ,25,Not Available
Le Grillardin,4.5,Français,                1180 Uccle ,30,Not Available
"La Folie Grecque, Woluwe-st-pierre",4.5,Grec,                1150 Woluwe-Saint-Pierre ,25,Not Available
Al Barmaki,4,Libanais,                1000 Bruxelles,40,Not Available
Le Chat-rabiat,4,Belge,                1180 Uccle ,25,Not Available
La Véraison,3.5,Espagnol,                1170 Watermael-Boitsfort ,45,Not Available
Miladiou,3.5,Belge,                1170 Watermael-Boitsfort ,25,Not Available
Le Peyrac,4.5,Italien,                1030 Schaerbeek ,21,Not Available
t Misverstand,3.5,Belge,                1180 Uccle ,35,Not Available
Domu Mia,4.5,Italien,                1180 Uccle ,30,Not Available
Julien Et Les Hotes,Not available,Français,                1160 Auderghem ,30,Not Available
Le Parvis,4,Belge,                1180 Uccle ,35,Not Available
Au Vieux Saint Martin,4,Belge,                1000 Bruxelles,40,Not Available
Chaud Devant,4.5,Français,                1150 Woluwe-Saint-Pierre ,30,Not Available
Au Savoy,4,Belge,                1050 Ixelles ,40,Not Available
Moonfood,5,Du Monde,                1000 Bruxelles,12,Not Available
Le Beau Rivage,4.5,Belge,                1020 Laeken ,25,Not Available
Authentica,4.5,Grec,                1180 Uccle ,35,Not Available
"Holy Bagels, Ixelles",4.5,Américain,                1050 Ixelles ,10,Not Available
Lola,4,Belge,                1000 Bruxelles,50,Not Available
La Fantaisie,Not available,Français,                1030 Bruxelles,35,Not Available
Le Chevalier de Lascombes,4.5,Français,                1180 Uccle ,40,Not Available
"La Tavola Calda, Auderghem",4,Italien,                1160 Auderghem ,15,Not Available
Loggia Dei Cavalieri,4.5,Italien,                1180 Uccle ,35,Not Available
La Trinacria,3.5,Italien,                1200 Woluwe-Saint-Lambert ,30,Not Available
Comocomo,4,Espagnol,                1000 Bruxelles,19,Not Available
Il Giardino,3.5,Italien,                1180 Uccle ,30,Not Available
